date,room_type,season,available_rooms,booked_rooms,occupancy_rate,avg_daily_rate,revenue,day_type
2025-05-17,deluxe,mid,40,40,1.0,149.5,5980.0,weekend
2025-05-17,suite,mid,20,20,1.0,253.0,5060.0,weekend
2025-05-18,standard,mid,80,80,1.0,92.0,7360.0,weekend
2025-05-18,deluxe,mid,40,36,0.92,146.42,5271.21,weekend
2025-05-18,suite,mid,20,20,1.0,253.0,5060.0,weekend
2025-05-19,standard,mid,80,79,0.99,91.82,7253.95,weekday
2025-05-19,deluxe,mid,40,32,0.82,142.6,4563.32,weekday
2025-05-19,suite,mid,20,20,1.0,253.0,5060.0,weekday
2025-05-20,standard,mid,80,76,0.96,91.01,6916.54,weekday
2025-05-20,deluxe,mid,40,40,1.0,149.5,5980.0,weekday
2025-05-20,suite,mid,20,19,0.95,249.77,4745.66,weekday
2025-05-21,standard,mid,80,80,1.0,92.0,7360.0,weekday
2025-05-21,deluxe,mid,40,40,1.0,149.5,5980.0,weekday
2025-05-21,suite,mid,20,18,0.9,246.5,4436.95,weekday
2025-05-22,standard,mid,80,80,1.0,92.0,7360.0,weekday
2025-05-22,deluxe,mid,40,40,1.0,149.5,5980.0,weekday
2025-05-22,suite,mid,20,20,1.0,253.0,5060.0,weekday
2025-05-23,standard,mid,80,63,0.79,86.94,5477.34,weekday
2025-05-23,deluxe,mid,40,40,1.0,149.5,5980.0,weekday
2025-05-23,suite,mid,20,20,1.0,253.0,5060.0,weekday
2025-05-24,standard,mid,80,69,0.87,88.99,6140.6,weekend
2025-05-24,deluxe,mid,40,39,0.99,149.24,5820.54,weekend
2025-05-24,suite,mid,20,16,0.82,240.92,3854.66,weekend
2025-05-25,standard,mid,80,80,1.0,92.0,7360.0,weekend
2025-05-25,deluxe,mid,40,40,1.0,149.5,5980.0,weekend
2025-05-25,suite,mid,20,20,1.0,253.0,5060.0,weekend
2025-05-26,standard,mid,80,76,0.95,90.85,6904.66,weekday
2025-05-26,deluxe,mid,40,40,1.0,149.5,5980.0,weekday
2025-05-26,suite,mid,20,14,0.72,234.8,3287.13,weekday
2025-05-27,standard,mid,80,53,0.67,84.16,4460.69,weekday
2025-05-27,deluxe,mid,40,37,0.93,146.84,5433.08,weekday
2025-05-27,suite,mid,20,20,1.0,253.0,5060.0,weekday
2025-05-28,standard,mid,80,74,0.94,90.45,6693.23,weekday
2025-05-28,deluxe,mid,40,24,0.62,134.54,3228.98,weekday
2025-05-28,suite,mid,20,18,0.93,248.15,4466.72,weekday
2025-05-29,standard,mid,80,58,0.74,85.66,4968.55,weekday
2025-05-29,deluxe,mid,40,40,1.0,149.5,5980.0,weekday
2025-05-29,suite,mid,20,19,1.0,252.87,4804.45,weekday
2025-05-30,standard,mid,80,63,0.79,87.04,5483.28,weekday
2025-05-30,deluxe,mid,40,34,0.86,144.04,4897.3,weekday
2025-05-30,suite,mid,20,15,0.77,238.11,3571.72,weekday
2025-05-31,standard,mid,80,80,1.0,92.0,7360.0,weekend
2025-05-31,deluxe,mid,40,40,1.0,149.5,5980.0,weekend
2025-05-31,suite,mid,20,20,1.0,253.0,5060.0,weekend
2025-06-01,standard,high,80,80,1.0,92.0,7360.0,weekend
2025-06-01,deluxe,high,40,40,1.0,149.5,5980.0,weekend
2025-06-01,suite,high,20,20,1.0,253.0,5060.0,weekend
2025-06-02,standard,high,80,80,1.0,92.0,7360.0,weekday
2025-06-02,deluxe,high,40,36,0.92,146.37,5269.29,weekday
2025-06-02,suite,high,20,20,1.0,253.0,5060.0,weekday
2025-06-03,standard,high,80,71,0.89,89.35,6343.87,weekday
2025-06-03,deluxe,high,40,40,1.0,149.5,5980.0,weekday
2025-06-03,suite,high,20,20,1.0,253.0,5060.0,weekday
2025-06-04,standard,high,80,78,0.98,91.57,7142.07,weekday
2025-06-04,deluxe,high,40,40,1.0,149.5,5980.0,weekday
2025-06-04,suite,high,20,20,1.0,253.0,5060.0,weekday
2025-06-05,standard,high,80,80,1.0,92.0,7360.0,weekday
2025-06-05,deluxe,high,40,40,1.0,149.5,5980.0,weekday
2025-06-05,suite,high,20,20,1.0,253.0,5060.0,weekday
2025-06-06,standard,high,80,80,1.0,92.0,7360.0,weekday
2025-06-06,deluxe,high,40,40,1.0,149.5,5980.0,weekday
2025-06-06,suite,high,20,20,1.0,253.0,5060.0,weekday
2025-06-07,standard,high,80,72,0.9,89.63,6453.63,weekend
2025-06-07,deluxe,high,40,40,1.0,149.5,5980.0,weekend
2025-06-07,suite,high,20,20,1.0,253.0,5060.0,weekend
2025-06-08,standard,high,80,80,1.0,92.0,7360.0,weekend
2025-06-08,deluxe,high,40,40,1.0,149.5,5980.0,weekend
2025-06-08,suite,high,20,20,1.0,253.0,5060.0,weekend
2025-06-09,standard,high,80,80,1.0,92.0,7360.0,weekday
2025-06-09,deluxe,high,40,40,1.0,149.5,5980.0,weekday
2025-06-09,suite,high,20,20,1.0,253.0,5060.0,weekday
2025-06-10,standard,high,80,80,1.0,92.0,7360.0,weekday
2025-06-10,deluxe,high,40,37,0.93,146.94,5436.96,weekday
2025-06-10,suite,high,20,16,0.81,240.72,3851.48,weekday
2025-06-11,standard,high,80,80,1.0,92.0,7360.0,weekday
2025-06-11,deluxe,high,40,38,0.97,148.38,5638.59,weekday
2025-06-11,suite,high,20,16,0.85,242.97,3887.52,weekday
2025-06-12,standard,high,80,79,0.99,91.8,7252.31,weekday
2025-06-12,deluxe,high,40,36,0.91,146.03,5257.25,weekday
2025-06-12,suite,high,20,20,1.0,253.0,5060.0,weekday
2025-06-13,standard,high,80,80,1.0,92.0,7360.0,weekday
2025-06-13,deluxe,high,40,40,1.0,149.5,5980.0,weekday
2025-06-13,suite,high,20,20,1.0,253.0,5060.0,weekday
2025-06-14,standard,high,80,80,1.0,92.0,7360.0,weekend
2025-06-14,deluxe,high,40,40,1.0,149.5,5980.0,weekend
2025-06-14,suite,high,20,20,1.0,253.0,5060.0,weekend
2025-06-15,standard,high,80,80,1.0,92.0,7360.0,weekend
2025-06-15,deluxe,high,40,40,1.0,149.5,5980.0,weekend
2025-06-15,suite,high,20,20,1.0,253.0,5060.0,weekend
2025-06-16,standard,high,80,75,0.95,90.78,6808.73,weekday
2025-06-16,deluxe,high,40,34,0.86,143.86,4891.18,weekday
2025-06-16,suite,high,20,20,1.0,253.0,5060.0,weekday
2025-06-17,standard,high,80,80,1.0,92.0,7360.0,weekday
2025-06-17,deluxe,high,40,34,0.85,143.74,4887.3,weekday
2025-06-17,suite,high,20,20,1.0,253.0,5060.0,weekday
2025-06-18,standard,high,80,79,0.99,91.78,7250.88,weekday
2025-06-18,deluxe,high,40,40,1.0,149.5,5980.0,weekday
2025-06-18,suite,high,20,20,1.0,253.0,5060.0,weekday
2025-06-19,standard,high,80,76,0.95,90.83,6903.44,weekday
2025-06-19,deluxe,high,40,40,1.0,149.5,5980.0,weekday
2025-06-19,suite,high,20,19,0.96,250.2,4753.79,weekday
2025-06-20,standard,high,80,80,1.0,92.0,7360.0,weekday
2025-06-20,deluxe,high,40,40,1.0,149.5,5980.0,weekday
2025-06-20,suite,high,20,20,1.0,253.0,5060.0,weekday
2025-06-21,standard,high,80,80,1.0,92.0,7360.0,weekend
2025-06-21,deluxe,high,40,40,1.0,149.5,5980.0,weekend
2025-06-21,suite,high,20,20,1.0,253.0,5060.0,weekend
2025-06-22,standard,high,80,80,1.0,92.0,7360.0,weekend
2025-06-22,deluxe,high,40,40,1.0,149.5,5980.0,weekend
2025-06-22,suite,high,20,20,1.0,253.0,5060.0,weekend
2025-06-23,standard,high,80,80,1.0,92.0,7360.0,weekday
2025-06-23,deluxe,high,40,32,0.8,141.79,4537.2,weekday
2025-06-23,suite,high,20,20,1.0,253.0,5060.0,weekday
2025-06-24,standard,high,80,79,0.99,91.73,7246.67,weekday
2025-06-24,deluxe,high,40,40,1.0,149.5,5980.0,weekday
2025-06-24,suite,high,20,19,0.97,251.03,4769.51,weekday
2025-06-25,standard,high,80,62,0.78,86.65,5372.39,weekday
2025-06-25,deluxe,high,40,32,0.81,142.09,4546.88,weekday
2025-06-25,suite,high,20,20,1.0,253.0,5060.0,weekday
2025-06-26,standard,high,80,80,1.0,92.0,7360.0,weekday
2025-06-26,deluxe,high,40,37,0.94,147.32,5450.66,weekday
2025-06-26,suite,high,20,20,1.0,253.0,5060.0,weekday
2025-06-27,standard,high,80,64,0.8,87.29,5586.49,weekday
2025-06-27,deluxe,high,40,40,1.0,149.5,5980.0,weekday
2025-06-27,suite,high,20,17,0.89,245.55,4174.39,weekday
2025-06-28,standard,high,80,80,1.0,92.0,7360.0,weekend
2025-06-28,deluxe,high,40,40,1.0,149.5,5980.0,weekend
2025-06-28,suite,high,20,20,1.0,253.0,5060.0,weekend
2025-06-29,standard,high,80,80,1.0,92.0,7360.0,weekend
2025-06-29,deluxe,high,40,40,1.0,149.5,5980.0,weekend
2025-06-29,suite,high,20,20,1.0,253.0,5060.0,weekend
2025-06-30,standard,high,80,80,1.0,92.0,7360.0,weekday
2025-06-30,deluxe,high,40,36,0.9,145.69,5244.72,weekday
2025-06-30,suite,high,20,20,1.0,253.0,5060.0,weekday
